Education,Skills,Years_Experience,Certifications,Test_Score,Interview_Rating,Gender,Selection_Status,AI_Selection,Merit_Score
PhD,46.019457072565984,16,Yes,59.219460426761906,2,Female,0,0,0.0
PhD,47.2209509561372,7,Yes,80.49736187386942,5,Male,0,0,0.0
Bachelor's,56.305832266323684,0,Yes,53.889866311796425,2,Male,0,0,0.0
Bachelor's,62.77808835200967,14,Yes,66.2424667508674,4,Male,0,0,0.0
PhD,48.95070105020332,19,Yes,62.162857423240084,2,Male,0,0,0.0
Master's,75.53944714644999,11,No,81.84664579574113,3,Male,0,0,0.0
Bachelor's,76.51891252985173,14,No,91.64586643919259,1,Male,0,0,0.0
Master's,56.52785683242194,14,No,85.62114800463974,3,Female,0,0,0.0
Master's,57.721019509137975,8,No,85.28252168585752,3,Male,0,0,0.0
Master's,59.69827849222658,15,No,65.68594715424113,1,Female,0,0,0.0
Bachelor's,52.52671301660438,1,No,80.82882846400898,4,Female,0,0,0.0
Master's,26.566634500331233,14,Yes,77.39503380082098,3,Female,0,0,0.0
Bachelor's,68.72439540782702,14,No,63.24542748778893,1,Male,0,0,0.0
Master's,63.54343460948535,6,No,85.76031981243534,1,Female,0,0,0.0
PhD,65.07781232760139,20,Yes,79.33738216685988,3,Female,0,0,0.0
PhD,54.822947184868426,12,Yes,72.81177286641326,1,Male,0,0,0.0
Bachelor's,82.15746248725401,16,No,83.21239942532927,5,Female,1,1,1.0
PhD,100.0,10,No,76.47948504375414,3,Male,0,0,0.0
PhD,57.48872715968267,9,No,87.01198569719246,4,Male,0,0,0.0
Master's,90.99544208458522,0,Yes,93.88023563810596,5,Female,0,0,0.0
Bachelor's,75.4997471822094,13,Yes,72.20855247541778,4,Female,1,1,0.98
Master's,70.5312983767365,4,Yes,72.09826943458197,3,Female,0,0,0.01
Master's,64.83815895155753,7,Yes,70.09226307389912,2,Female,0,0,0.0
Master's,68.75174694649012,0,No,75.1739626942083,1,Male,0,0,0.0
Master's,87.24386034547939,6,No,88.5099471026905,5,Male,1,1,0.98
Master's,52.928785585652314,1,No,64.39059342801495,3,Female,0,0,0.0
Master's,65.87489903272822,6,Yes,61.29575714505358,1,Male,0,0,0.0
Master's,88.73500311733754,6,Yes,77.35958703389906,2,Male,0,0,0.0
Bachelor's,84.75572040291996,8,No,74.62543012782561,4,Male,1,1,0.98
PhD,53.16121091574635,3,No,76.9304777145338,3,Male,0,0,0.0
Master's,67.26112183328432,6,No,55.43557707877427,3,Male,0,0,0.0
Master's,80.92011771751041,19,Yes,90.41302747706965,2,Male,0,0,0.0
Master's,79.95142178981645,17,No,77.0530743654003,4,Male,1,1,0.99
Master's,84.62701781864932,12,Yes,99.46893779485791,3,Male,0,0,0.0
Master's,75.76428832250947,10,No,79.13510547995733,1,Male,0,0,0.0
Master's,78.27929721993677,8,No,70.98567298946891,2,Male,0,0,0.0
PhD,75.14194632890738,13,Yes,77.54956940297683,3,Female,0,0,0.0
PhD,93.69599616291836,7,Yes,89.79557134551918,4,Female,1,1,1.0
Master's,63.672832308531724,20,Yes,67.79533271764089,5,Male,0,0,0.0
PhD,70.72286744417826,13,No,80.8449710051792,3,Female,0,0,0.0
Bachelor's,54.77546751523436,20,Yes,79.37772497553601,4,Male,0,0,0.0
Master's,51.81967349793381,16,No,80.94065005725663,2,Male,0,0,0.0
Bachelor's,74.87435051587572,13,Yes,65.91028154218881,4,Male,0,0,0.0
Bachelor's,59.13720601087222,4,No,81.37563349593647,4,Female,0,0,0.0
Master's,69.13471595653967,9,Yes,80.62327434061984,2,Male,0,0,0.0
PhD,94.26623965786314,5,Yes,90.6675561251078,5,Male,0,0,0.03
Bachelor's,93.39906553559231,9,No,92.7295223095099,1,Female,0,0,0.01
Master's,100.0,10,Yes,78.7295267758937,5,Female,0,1,0.97
Bachelor's,94.56478762598682,5,No,77.29153985170717,1,Male,0,0,0.0
Bachelor's,100.0,9,No,65.39414767685165,1,Female,0,0,0.0
Bachelor's,76.54794501718841,13,No,73.03271660055037,1,Male,0,0,0.0
Bachelor's,56.454691260331245,19,Yes,70.44232722826925,3,Female,0,0,0.0
PhD,54.99411145771779,2,No,84.75681179271325,5,Male,0,0,0.0
Bachelor's,90.9449591116228,6,Yes,78.07325031313795,4,Male,1,1,0.96
Bachelor's,70.7743975421563,1,Yes,65.1805676521545,3,Female,0,0,0.0
Bachelor's,71.89197273769024,6,No,66.5831778159001,2,Female,0,0,0.0
PhD,61.763933680692794,16,Yes,100.0,2,Female,0,0,0.0
Bachelor's,63.562390905260756,12,No,70.71344741185342,1,Male,0,0,0.0
Bachelor's,75.75638934665388,20,No,81.7711358365288,3,Female,0,0,0.0
PhD,54.17164764813945,8,No,75.22168774153207,3,Female,0,0,0.0
PhD,73.85707698712143,12,No,72.5065574897125,2,Male,0,0,0.0
PhD,92.66620292702694,14,No,86.7244418283861,4,Female,1,1,0.98
Bachelor's,37.99546237511769,12,No,70.45308547675185,5,Male,0,0,0.0
PhD,46.88032182884329,16,Yes,71.98028534764968,5,Male,0,0,0.0
PhD,80.13414942254587,7,Yes,88.74850266759505,1,Male,0,0,0.0
Bachelor's,90.45951810491295,8,Yes,71.15299487663897,1,Male,0,0,0.0
PhD,62.65160904790477,8,Yes,60.93940028191388,1,Male,0,0,0.0
Bachelor's,40.026390774331915,7,Yes,63.72157100059633,2,Male,0,0,0.0
Master's,91.47886260911127,15,No,80.1448443741503,2,Female,0,0,0.0
PhD,57.83402272128213,19,Yes,67.98830519897838,5,Male,0,0,0.0
Master's,64.58130485608581,6,No,86.29911421484323,1,Female,0,0,0.0
Bachelor's,74.78567308479666,16,Yes,75.20938745576925,3,Male,0,0,0.0
PhD,60.00349942133864,6,Yes,82.62328550741555,4,Male,0,0,0.01
Bachelor's,56.85805409264208,5,No,78.53820297511314,2,Male,0,0,0.0
Master's,57.13299711153867,4,Yes,85.59778057106993,1,Male,0,0,0.0
Bachelor's,97.86892841391526,16,Yes,93.837427725801,1,Male,0,0,0.0
PhD,87.39420382637923,7,Yes,80.6473811674965,2,Male,0,0,0.0
PhD,78.61776010925773,0,No,80.1595238180967,5,Male,0,0,0.0
Master's,37.20350161398151,15,Yes,86.12153917860901,5,Female,0,0,0.0
Bachelor's,78.6728784258338,16,No,69.36071587735948,5,Male,0,0,0.02
PhD,77.86300312614203,2,Yes,80.41530223878041,5,Male,0,0,0.0
Master's,50.82800289722251,12,No,65.78064506432118,3,Male,0,0,0.0
PhD,73.8806520021075,7,Yes,67.41092424581066,1,Male,0,0,0.0
PhD,85.77238744388033,15,No,70.24242365590902,5,Male,1,1,0.96
Bachelor's,78.5404887789066,6,No,87.68584106270168,5,Male,1,1,0.95
PhD,59.797458974496614,20,Yes,73.59691845723091,4,Male,0,0,0.0
Bachelor's,70.1989696462596,14,Yes,67.1932439527711,4,Female,0,0,0.0
PhD,80.95535396801799,1,Yes,82.59254025086258,1,Female,0,0,0.0
Master's,70.89178051326473,1,No,58.527369690270945,2,Male,0,0,0.0
PhD,88.81427333660343,9,Yes,56.28899197268521,5,Male,0,0,0.0
Bachelor's,75.93522335260162,4,No,72.4704862245789,3,Female,0,0,0.0
Bachelor's,81.29383997931747,3,Yes,72.31616402708046,4,Female,0,0,0.05
Master's,82.3210097048764,14,Yes,85.43439837696374,5,Female,1,1,0.99
PhD,53.99975945041206,12,No,87.00361005304757,2,Male,0,0,0.0
PhD,70.74979053035018,16,Yes,73.9850058955352,3,Female,0,0,0.0
Master's,65.01468289721552,20,Yes,72.91993486996847,4,Female,0,0,0.0
PhD,85.65768992210619,0,Yes,67.23673226898309,2,Female,0,0,0.0
PhD,76.94849570056037,17,No,73.90125920997244,2,Female,0,0,0.0
Bachelor's,67.17681306841615,14,No,49.430641215331626,3,Female,0,0,0.0
PhD,50.77222894836005,13,No,70.48597286618272,3,Male,0,0,0.0
PhD,46.04637501819188,8,No,74.19202552113347,4,Female,0,0,0.0
Master's,74.65513929917431,11,Yes,67.14953378115828,3,Female,0,0,0.0
Master's,59.241809841498096,4,Yes,68.56312791401854,5,Female,0,0,0.0
Bachelor's,79.9918970214585,1,Yes,72.01163731110896,3,Female,0,0,0.0
PhD,45.3528960238566,6,No,74.93511645544346,2,Male,0,0,0.0
PhD,93.89426797313335,20,Yes,83.6282700952091,3,Male,0,0,0.0
PhD,79.95796134897512,8,No,79.26414453844117,4,Male,1,1,1.0
Bachelor's,71.4877763496659,17,Yes,83.81161889088175,5,Female,1,1,0.92
Bachelor's,95.24588404604098,3,No,80.7272948700033,3,Male,0,0,0.0
Master's,84.22626901331704,1,No,76.1471012239712,5,Male,0,0,0.0
Bachelor's,62.87495142074434,0,Yes,97.315413981827,3,Male,0,0,0.0
PhD,71.16364464667494,11,No,67.83887101565426,5,Male,0,0,0.0
PhD,40.53588550277882,12,No,65.86949568460525,3,Male,0,0,0.0
Bachelor's,85.96285465823276,13,Yes,73.4739016756146,3,Female,0,0,0.0
PhD,65.56072483012417,4,No,74.39782218564238,1,Male,0,0,0.0
PhD,40.341627321415274,2,No,76.37942367744942,2,Female,0,0,0.0
Bachelor's,52.272421458865125,3,Yes,65.45675614279646,4,Female,0,0,0.0
Bachelor's,83.06368072674115,16,No,94.5727047379369,4,Male,1,1,0.92
PhD,94.2070407255423,18,No,71.54689715908064,1,Male,0,0,0.0
PhD,70.3063827837713,10,No,65.36327583714,3,Female,0,0,0.0
PhD,55.2692298701066,7,Yes,77.64256159028534,2,Male,0,0,0.0
Master's,48.68875465481347,11,Yes,85.9561632170354,5,Male,0,0,0.0
Master's,91.21921927211662,17,Yes,91.10911813079912,1,Female,0,0,0.0
Master's,76.74201667670842,17,Yes,51.01759805189256,4,Female,0,0,0.0
Bachelor's,65.0479056903288,8,No,82.6728065407176,4,Male,0,0,0.0
Master's,61.47592320886689,4,Yes,92.56904413510198,4,Female,0,0,0.0
Bachelor's,80.07744456600443,20,Yes,69.04746246439748,3,Male,0,0,0.0
Bachelor's,79.6647774110704,16,Yes,72.68362803952077,5,Male,1,1,0.96
Master's,56.551233798160816,12,Yes,65.5138013224498,5,Male,0,0,0.0
Master's,52.864412636485866,5,No,69.40709084009114,5,Male,0,0,0.0
Master's,53.62145956429758,13,No,64.34767923642954,3,Male,0,0,0.0
PhD,62.97663129288465,14,Yes,84.347624847636,4,Male,0,0,0.0
Master's,59.653218196258656,13,No,73.93790382558285,4,Male,0,0,0.0
PhD,94.27138027254348,3,Yes,44.96343080875396,3,Female,0,0,0.0
Bachelor's,62.44329066610841,17,Yes,68.9710035527725,2,Female,0,0,0.0
PhD,51.25500328075405,0,No,68.09341505438401,3,Male,0,0,0.0
Master's,52.09753838650709,11,No,83.55460696245714,3,Male,0,0,0.0
Bachelor's,67.24042598437607,8,No,74.32266310586833,4,Male,0,0,0.0
Bachelor's,42.66813815531739,9,No,74.05561632634345,5,Female,0,0,0.0
Bachelor's,69.09818929206405,20,No,81.42909569475675,4,Female,0,0,0.0
PhD,49.956857492776535,17,No,85.57793225037449,2,Male,0,0,0.0
Master's,87.37915550112552,16,Yes,77.67545400906567,1,Male,0,0,0.0
Bachelor's,71.74843523862917,18,No,68.45973118675295,1,Female,0,0,0.0
Bachelor's,100.0,3,Yes,59.94992640418076,3,Male,0,0,0.0
Bachelor's,66.57699130746684,15,Yes,89.49989384984865,1,Female,0,0,0.0
PhD,23.023842490446192,6,Yes,100.0,5,Female,0,0,0.0
PhD,91.86521800534305,8,Yes,76.24055266459533,4,Female,1,1,1.0
Master's,77.52884737715603,7,Yes,78.16394919134031,2,Male,0,0,0.0
PhD,79.8536181844101,6,No,90.0418905235764,2,Female,0,0,0.0
Bachelor's,54.96124615383926,9,No,57.873037515627665,2,Male,0,0,0.0
Master's,69.35727916606916,7,Yes,84.54151447189176,4,Female,0,0,0.0
Bachelor's,72.7969131270349,16,Yes,78.75744912433251,5,Female,1,1,0.99
Bachelor's,66.43269073590852,11,No,67.30846841949753,2,Male,0,0,0.0
PhD,43.984557621197894,13,Yes,69.79940074018735,1,Male,0,0,0.0
Master's,100.0,11,No,61.84501960170246,5,Male,0,0,0.0
PhD,82.53743856742338,1,No,86.25074975984771,5,Male,0,0,0.0
PhD,76.30876070530594,11,No,64.60235744354407,5,Female,0,0,0.01
Master's,89.70828431520968,13,Yes,79.12034537596277,2,Female,0,0,0.0
Bachelor's,79.66288316558261,6,Yes,58.73616016344217,5,Male,0,0,0.01
Bachelor's,59.84195679880449,12,Yes,88.9447065475768,2,Male,0,0,0.0
Master's,88.74674136726534,20,Yes,72.95132703009605,1,Male,0,0,0.0
Bachelor's,82.78324009867022,3,Yes,85.72224407970643,1,Male,0,0,0.0
Master's,60.41071274028912,0,Yes,72.88111958145454,1,Female,0,0,0.0
Master's,81.85022002427567,16,Yes,68.9305383695204,1,Male,0,0,0.0
PhD,66.39144951735878,2,Yes,61.59477510828455,5,Female,0,0,0.0
Master's,73.1271729969792,16,No,85.53774713563081,5,Female,1,1,1.0
PhD,78.9947570036984,7,Yes,71.36305511791566,2,Female,0,0,0.0
Bachelor's,90.5274655195744,2,No,77.96959456909957,1,Male,0,0,0.0
Bachelor's,60.31006022309419,9,No,67.92004346072247,3,Female,0,0,0.0
Bachelor's,75.47443270978395,1,No,74.82971143933568,1,Female,0,0,0.0
Bachelor's,100.0,3,Yes,77.05380815536789,4,Female,0,0,0.02
PhD,67.35928755959573,13,Yes,57.446007334713826,3,Male,0,0,0.0
Bachelor's,72.94835166549373,10,Yes,68.17899955617682,4,Male,0,0,0.0
Master's,100.0,13,No,90.75002872296389,3,Female,0,0,0.0
Master's,79.56216207923657,12,Yes,66.82613378815138,2,Male,0,0,0.0
Master's,47.89029581258326,3,Yes,84.02391739861046,5,Male,0,0,0.0
PhD,58.067835217684525,1,No,78.2631258345806,2,Male,0,0,0.0
Bachelor's,80.34368821548165,1,Yes,80.11312041564629,3,Male,0,0,0.0
Bachelor's,76.34507361835712,10,No,81.33755146748463,1,Male,0,0,0.0
Bachelor's,72.43869800108229,4,No,75.2033639517627,2,Male,0,0,0.0
PhD,100.0,8,No,69.30953496120038,3,Male,0,0,0.0
Master's,60.73769265762408,19,Yes,67.55102433597108,1,Male,0,0,0.0
Master's,68.88379264851946,20,No,71.69272040722987,5,Female,0,0,0.03
Bachelor's,40.553346858426465,16,No,87.50494731446685,3,Male,0,0,0.0
Master's,87.40989833201458,11,Yes,61.4408976974996,4,Female,0,0,0.01
Master's,58.017215484061296,17,No,71.88470983622618,4,Male,0,0,0.0
PhD,85.85705153201394,2,Yes,59.85365330840985,4,Female,0,0,0.0
PhD,84.28045197155951,4,Yes,69.17854747008717,1,Male,0,0,0.0
PhD,100.0,20,No,73.75768443538063,1,Male,0,0,0.0
PhD,79.73913364796817,19,Yes,88.94878341347665,2,Female,0,0,0.0
Bachelor's,64.65870063519837,13,Yes,90.03274739978798,1,Male,0,0,0.0
PhD,76.80434439995638,15,Yes,57.026143278714436,3,Male,0,0,0.0
Master's,58.611207282571186,18,Yes,59.88245481158464,4,Male,0,0,0.0
Bachelor's,74.78740266263364,8,No,73.34278177427728,5,Male,1,1,0.99
Master's,66.98646241686441,16,Yes,82.61469107553778,4,Female,0,0,0.0
Master's,68.94492325492193,6,Yes,58.971920163327496,3,Female,0,0,0.0
Master's,56.524502681086545,9,Yes,71.2957374544786,5,Male,0,0,0.0
PhD,74.50669089644165,3,Yes,85.35632504093141,2,Male,0,0,0.0
PhD,82.36345038529103,9,No,86.57037430572129,1,Male,0,0,0.0
Bachelor's,45.21854807992409,2,No,71.95608403977124,3,Male,0,0,0.0
Bachelor's,59.67111020102294,8,Yes,54.98790177576503,1,Male,0,0,0.0
PhD,72.52070753770406,12,No,85.49176206331867,2,Female,0,0,0.0
Master's,34.790250381798785,0,Yes,65.7938206602946,5,Male,0,0,0.0
Bachelor's,96.10396650569378,14,No,80.3774429322998,3,Female,0,0,0.0
PhD,59.333337781704174,14,Yes,66.0072420390856,5,Male,0,0,0.0
PhD,55.92868721862358,10,Yes,76.00864214052478,3,Female,0,0,0.0
PhD,66.88986585614818,9,No,78.1007286671882,2,Female,0,0,0.0
Master's,72.06059258197335,6,No,87.84201940109912,2,Male,0,0,0.0
PhD,58.65290653071494,0,No,60.92244134024405,2,Female,0,0,0.0
PhD,84.7062049898339,6,No,66.1833902890121,1,Male,0,0,0.0
PhD,75.99559809161835,4,No,91.1363321257543,4,Male,0,0,0.02
PhD,57.44137159591966,15,Yes,77.31537481987871,5,Male,0,0,0.02
Bachelor's,62.16392324616443,7,Yes,66.40342658524554,3,Male,0,0,0.0
Bachelor's,47.24845455414521,1,Yes,82.22992030516998,5,Male,0,0,0.0
PhD,51.19988656697746,7,Yes,65.00810110430078,4,Male,0,0,0.0
Master's,75.81397492318543,13,No,76.95427592587014,1,Male,0,0,0.01
Bachelor's,57.597031658952574,3,No,68.15665195946661,1,Male,0,0,0.0
PhD,97.06426679573639,14,Yes,87.42933415901064,4,Female,1,1,0.97
Bachelor's,71.06384800463714,6,Yes,66.43609081557335,3,Female,0,0,0.0
Bachelor's,49.70764862344007,19,No,48.46118613638809,4,Male,0,0,0.0
Master's,52.84979070898656,7,No,70.51457472766079,1,Female,0,0,0.0
PhD,85.79454542022143,10,No,68.3281474991023,1,Female,0,0,0.0
PhD,68.85229596086388,1,No,72.5579903330869,5,Male,0,0,0.0
Master's,84.87992239836454,8,No,80.56965193993949,3,Male,0,0,0.0
Master's,64.50268029882902,5,Yes,63.18121332873751,3,Female,0,0,0.0
PhD,61.59651861244735,0,Yes,67.22841654317696,1,Female,0,0,0.0
PhD,86.79171056551577,2,Yes,74.94127922857275,4,Female,0,0,0.02
Master's,57.12133934457111,9,Yes,68.40554049849358,1,Male,0,0,0.0
Bachelor's,77.33581200055542,4,No,75.65006852402536,5,Female,0,0,0.0
Bachelor's,66.82324584397948,11,Yes,80.37734748280738,4,Male,0,0,0.0
Master's,83.18085120063662,0,Yes,75.1356238719322,1,Female,0,0,0.0
Bachelor's,97.277259813037,8,Yes,86.0011962837898,3,Female,0,0,0.0
Master's,64.11733475198486,20,Yes,65.51717845024918,5,Male,0,0,0.0
Bachelor's,61.79286791805316,12,Yes,69.21418107188954,1,Female,0,0,0.0
Bachelor's,79.98712583556033,18,No,89.93286395611963,1,Female,0,0,0.0
PhD,53.76994607195398,6,Yes,67.65767706433523,2,Male,0,0,0.0
PhD,94.24698186775052,15,Yes,99.50394651343055,4,Male,1,1,0.97
Bachelor's,91.6903382508471,7,No,84.66308353209044,2,Female,0,0,0.0
Bachelor's,55.01320541259354,18,No,66.78235055723184,3,Female,0,0,0.0
PhD,46.2531277088964,6,No,80.85403287543004,4,Female,0,0,0.0
PhD,52.59134270715673,3,No,77.96431666903626,5,Male,0,0,0.0
PhD,52.819455400613236,9,Yes,60.45256028490144,4,Male,0,0,0.0
Master's,82.02640846532465,0,No,90.44244839852571,1,Male,0,0,0.0
Bachelor's,93.23755473669105,16,Yes,83.21372084026656,1,Female,0,0,0.0
PhD,81.85189318928235,20,No,89.7669188320228,1,Female,0,0,0.0
Bachelor's,66.45711675075314,12,Yes,85.46920273565382,4,Female,0,0,0.0
Master's,75.13747700365622,18,No,78.48978233983469,1,Female,0,0,0.0
Master's,56.953329507924465,12,No,85.79870034242076,1,Male,0,0,0.0
PhD,86.45812068346348,8,Yes,61.6404541245457,2,Male,0,0,0.0
Master's,76.48043409973799,4,Yes,94.83694764567485,1,Female,0,0,0.0
Bachelor's,81.59796673024695,0,No,82.45173742009403,2,Female,0,0,0.0
PhD,59.08696447210337,1,Yes,55.4681467993015,3,Male,0,0,0.0
Bachelor's,67.4710421969703,10,Yes,60.057854324659,4,Male,0,0,0.0
Bachelor's,80.87609709971804,3,Yes,77.87696936921448,2,Male,0,0,0.0
Master's,91.65269349285423,8,Yes,66.10381189350858,4,Male,0,0,0.0
Master's,60.87850360827123,4,No,80.19925455821672,4,Male,0,0,0.0
Master's,81.7067786075623,4,Yes,65.1435083829459,5,Male,0,0,0.0
Master's,59.31892305084574,7,No,62.2738110602552,2,Female,0,0,0.0
Master's,100.0,1,Yes,69.59660870266012,1,Male,0,0,0.0
PhD,63.77762937591206,6,No,100.0,5,Female,0,0,0.0
Bachelor's,79.65257761078168,16,No,64.05245732903103,2,Male,0,0,0.0
Bachelor's,72.48414422850449,10,No,87.5687231089728,2,Male,0,0,0.0
Bachelor's,100.0,14,No,67.42212601244938,3,Male,0,0,0.01
Bachelor's,73.44852412036846,2,Yes,74.11152539005916,1,Male,0,0,0.0
Master's,62.27415965514808,12,Yes,76.24675648591355,3,Male,0,0,0.0
Bachelor's,79.59259768919594,17,No,74.3789487627409,4,Male,1,1,0.97
PhD,79.2586130016306,19,Yes,75.56629960926668,1,Male,0,0,0.0
PhD,67.63795204361587,19,Yes,78.38149382655914,3,Male,0,0,0.0
Bachelor's,53.578512036578374,2,No,60.06258019110958,3,Male,0,0,0.0
Bachelor's,62.08001707914465,1,Yes,73.67806426500836,1,Male,0,0,0.0
PhD,83.22248422217379,4,Yes,74.4420840888849,2,Female,0,0,0.0
PhD,43.78826580649056,19,Yes,80.55073193657415,4,Female,0,0,0.02
Master's,66.27931150921431,4,Yes,72.18771649244303,5,Male,0,0,0.0
PhD,84.92295882725175,12,No,80.28492216397817,5,Female,1,1,0.98
Master's,68.59755671499929,7,No,68.47222942688792,5,Male,0,0,0.0
Master's,100.0,15,Yes,69.47794261349749,4,Male,0,0,0.03
Master's,43.83024639552022,17,No,78.11714410460131,1,Male,0,0,0.0
Master's,55.57948196620849,15,No,64.71425250471269,1,Female,0,0,0.0
Master's,35.28049296620818,0,No,69.3526730511584,1,Male,0,0,0.0
Bachelor's,99.90535850117949,7,No,70.05314065699835,5,Male,1,1,0.8
PhD,55.82519273872554,20,Yes,70.58034536678304,2,Male,0,0,0.0
Master's,40.19618032407501,1,Yes,75.57286435144017,3,Male,0,0,0.0
PhD,60.821210283618484,4,Yes,66.09505210059024,5,Female,0,0,0.0
PhD,49.10786337717295,14,No,81.25524266261888,4,Female,0,0,0.0
Master's,60.92822664541896,13,Yes,72.28245543557755,1,Male,0,0,0.0
Bachelor's,70.61843876417356,2,Yes,79.03826418973921,3,Female,0,0,0.0
Master's,82.0738165607065,6,Yes,62.720373765034964,1,Female,0,0,0.0
Bachelor's,67.37996589833594,3,No,46.419944401485566,1,Female,0,0,0.0
PhD,70.37936049002015,10,Yes,84.43036339299888,1,Male,0,0,0.0
Bachelor's,61.276071653948044,11,No,77.0875911336729,2,Male,0,0,0.0
Bachelor's,47.324526591255115,14,No,80.4658544986212,3,Female,0,0,0.0
Bachelor's,42.30189635551148,5,No,88.17586111267838,5,Female,0,0,0.0
PhD,64.53271329495458,0,No,65.60411845713939,2,Male,0,0,0.0
PhD,71.2695966781482,17,No,56.91355536536061,4,Male,0,0,0.01
Bachelor's,63.420782181606235,13,Yes,84.78156364648531,4,Male,0,0,0.01
Bachelor's,42.86009510707987,6,No,81.52042073263661,5,Male,0,0,0.0
Master's,73.02100139902258,9,No,86.05990396285657,3,Male,0,0,0.0
Bachelor's,94.43957324356471,8,No,91.58475318187485,5,Male,1,1,0.98
Master's,68.28030229733278,1,Yes,63.265837821441266,2,Male,0,0,0.0
Bachelor's,61.307041336358765,7,Yes,84.36853963502405,3,Male,0,0,0.0
Master's,69.09258939634721,0,Yes,72.46401066601297,4,Male,0,0,0.0
PhD,53.43430233155322,19,Yes,84.6630544939086,3,Male,0,0,0.0
Bachelor's,52.46651306055777,1,No,93.36000424577728,3,Male,0,0,0.01
Bachelor's,76.77121132141954,6,No,75.27458382991206,3,Male,0,0,0.0
Bachelor's,84.85482293548499,15,Yes,67.54397787858164,5,Male,0,0,0.0
Bachelor's,67.7935247170837,3,No,61.4407291690505,1,Male,0,0,0.0
Master's,40.3935242857635,20,Yes,52.460864673680824,2,Female,0,0,0.0
Bachelor's,75.30023389803625,16,Yes,89.51761578342213,3,Female,0,0,0.0
PhD,100.0,3,Yes,90.146031166692,3,Male,0,0,0.0
PhD,66.34152754827574,2,No,85.11459004607758,5,Male,0,0,0.0
Bachelor's,67.33231336894866,8,Yes,71.99704738983839,2,Male,0,0,0.0
PhD,56.91049704829093,14,Yes,82.87474200382646,2,Female,0,0,0.0
Bachelor's,77.22030996840115,19,No,78.05888935982122,4,Male,1,1,0.95
Bachelor's,59.93524803258081,2,No,63.39223734921521,2,Female,0,0,0.0
PhD,85.32252846502891,11,No,86.48523635554945,2,Female,0,0,0.0
Bachelor's,60.13629180272267,14,No,80.09693783946204,3,Female,0,0,0.0
